comment_id,sentimento_modelo,sentimento_esperado
23503,Negative,Negative
23504,Negative,Negative
23505,Negative,Neutral
23506,Negative,Negative
23507,Negative,Negative
23508,Negative,Negative
23509,Negative,Neutral
23510,Positive,Negative
23511,Positive,Negative
23512,Negative,Negative
23513,Positive,Positive
23514,Negative,Negative
23515,Positive,Negative
23516,Negative,Negative
23517,Positive,Positive
23518,Negative,Positive
23519,Neutral,Neutral
23520,Neutral,Neutral
23521,Negative,Negative
23522,Positive,Positive
23523,Negative,Positive
23524,Negative,Negative
23525,Negative,Negative
23526,Positive,Positive
23527,Negative,Negative
23528,Negative,Negative
23529,Negative,Negative
23530,Negative,Negative
23531,Negative,Negative
23532,Negative,Positive
23533,Negative,Negative
23534,Negative,Positive
23535,Positive,Negative
23536,Neutral,Negative
23537,Negative,Negative
23538,Negative,Negative
23539,Positive,Neutral
23540,Negative,Neutral
23541,Negative,Negative
23542,Negative,Negative
23543,Negative,Neutral
23544,Negative,Negative
23545,Neutral,Negative
23546,Negative,Negative
23547,Negative,Negative
23548,Negative,Negative
23549,Positive,Neutral
23550,Negative,Negative
23551,Positive,Neutral
23552,Negative,Negative
23553,Negative,Negative
23554,Negative,Negative
23555,Negative,Negative
23556,Negative,Negative
23557,Negative,Negative
23558,Negative,Negative
23559,Negative,Negative
23560,Positive,Negative
23561,Neutral,Negative
23562,Negative,Negative
23563,Negative,Negative
23564,Negative,Negative
23565,Negative,Negative
23566,Negative,Negative
23567,Neutral,Neutral
23568,Negative,Negative
23569,Negative,Negative
23570,Negative,Negative
23571,Positive,Negative
23572,Negative,Negative
23573,Negative,Negative
23574,Negative,Negative
23575,Positive,Positive
23576,Negative,Negative
23577,Negative,Negative
23578,Negative,Negative
23579,Negative,Negative
23580,Positive,Neutral
23581,Negative,Negative
23582,Positive,Positive
23583,Negative,Negative
23584,Positive,Neutral
23585,Negative,Negative
23586,Negative,Neutral
23587,Negative,Negative
23588,Negative,Negative
23589,Negative,Negative
23590,Positive,Neutral
23591,Neutral,Positive
23592,Positive,Positive
23593,Neutral,Negative
23594,Positive,Positive
23595,Negative,Negative
23596,Negative,Negative
23597,Negative,Negative
23598,Positive,Negative
23599,Negative,Negative
23600,Neutral,Neutral
23601,Negative,Neutral
23602,Negative,Neutral
23603,Neutral,Negative
23604,Positive,Negative
23605,Neutral,Neutral
23606,Negative,Negative
23607,Positive,Negative
23608,Negative,Negative
23609,Positive,Positive
23610,Negative,Positive
23611,Positive,Positive
23612,Negative,Positive
23613,Positive,Positive
23614,Negative,Positive
23615,Neutral,Neutral
23616,Negative,Negative
23617,Negative,Neutral
23618,Positive,Negative
23619,Negative,Negative
23620,Negative,Negative
23621,Neutral,Neutral
23622,Negative,Negative
23623,Negative,Neutral
23624,Positive,Negative
23625,Positive,Negative
23626,Negative,Positive
23627,Neutral,Negative
23628,Positive,Negative
23629,Negative,Neutral
23630,Neutral,Neutral
23631,Negative,Negative
23632,Negative,Negative
23633,Positive,Negative
23634,Positive,Neutral
23635,Negative,Negative
23636,Positive,Negative
23637,Negative,Negative
23638,Negative,Negative
23639,Negative,Negative
23640,Negative,Negative
23641,Negative,Negative
23642,Negative,Negative
23643,Negative,Negative
23644,Neutral,Neutral
23645,Positive,Positive
23646,Negative,Neutral
23647,Negative,Positive
23648,Negative,Positive
23649,Positive,Positive
23650,Positive,Positive
23651,Positive,Positive
23652,Neutral,Neutral
23653,Negative,Neutral
23654,Negative,Negative
23655,Negative,Positive
23656,Negative,Neutral
23657,Negative,Negative
23658,Negative,Negative
23659,Negative,Positive
23660,Neutral,Negative
23661,Positive,Neutral
23662,Negative,Negative
23663,Negative,Neutral
23664,Negative,Negative
23665,Positive,Neutral
23666,Negative,Negative
23667,Negative,Negative
23668,Positive,Positive
23669,Neutral,Positive
23670,Positive,Negative
23671,Negative,Negative
23672,Positive,Negative
23673,Positive,Positive
23674,Negative,Negative
23675,Negative,Negative
23676,Positive,Negative
23677,Negative,Negative
23678,Negative,Negative
23679,Negative,Negative
23680,Negative,Negative
23681,Negative,Negative
23682,Negative,Negative
23683,Negative,Negative
23684,Positive,Negative
16952,Positive,Negative
16953,Neutral,Positive
16954,Negative,Negative
16955,Negative,Negative
16956,Negative,Negative
16957,Negative,Negative
16958,Neutral,Positive
16959,Negative,Neutral
16960,Negative,Negative
16961,Positive,Positive
16962,Negative,Negative
16963,Positive,Neutral
16964,Negative,Positive
16965,Neutral,Neutral
16966,Negative,Neutral
16967,Negative,Negative
16968,Neutral,Negative
16969,Negative,Negative
16970,Negative,Negative
16971,Negative,Negative
16972,Negative,Negative
16973,Negative,Negative
16974,Negative,Negative
16975,Negative,Negative
16976,Negative,Negative
16977,Negative,Negative
16978,Negative,Neutral
16979,Negative,Negative
16980,Negative,Negative
16981,Negative,Negative
16982,Negative,Negative
16983,Negative,Negative
16984,Negative,Negative
16985,Neutral,Neutral
16986,Negative,Negative
16987,Positive,Negative
16988,Negative,Negative
16989,Positive,Negative
16990,Neutral,Negative
16991,Negative,Negative
16992,Positive,Positive
16993,Negative,Negative
16994,Positive,Negative
16995,Negative,Negative
16996,Positive,Negative
16997,Positive,Negative
16998,Negative,Negative
16999,Negative,Negative
17000,Positive,Negative
17001,Negative,Negative
17002,Negative,Negative
17003,Negative,Negative
17004,Negative,Negative
17005,Positive,Negative
17006,Negative,Negative
17007,Negative,Negative
17008,Negative,Neutral
17009,Negative,Negative
17010,Negative,Negative
17011,Negative,Neutral
17012,Negative,Neutral
17013,Negative,Negative
17014,Negative,Negative
17015,Negative,Positive
17016,Neutral,Negative
17017,Negative,Negative
17018,Negative,Neutral
17019,Neutral,Neutral
17020,Negative,Negative
17021,Negative,Negative
17022,Negative,Neutral
17023,Negative,Negative
17024,Negative,Negative
17025,Negative,Negative
17026,Negative,Negative
17027,Negative,Negative
17028,Negative,Negative
17029,Negative,Negative
17030,Negative,Negative
17031,Negative,Neutral
17032,Negative,Negative
17033,Negative,Neutral
17034,Negative,Negative
17035,Negative,Negative
17036,Negative,Neutral
17037,Negative,Negative
17038,Positive,Neutral
17039,Negative,Positive
17040,Negative,Positive
17041,Neutral,Neutral
17042,Negative,Negative
17043,Negative,Negative
17044,Negative,Negative
17045,Negative,Negative
17046,Neutral,Negative
17047,Negative,Neutral
17048,Negative,Negative
17049,Positive,Negative
17050,Negative,Negative
17051,Negative,Negative
17052,Negative,Negative
17053,Negative,Negative
17054,Negative,Negative
17055,Negative,Negative
17056,Negative,Negative
17057,Neutral,Positive
17058,Neutral,Positive
17059,Positive,Negative
17060,Negative,Negative
17061,Negative,Negative
17062,Negative,Negative
17063,Negative,Negative
17064,Negative,Negative
17065,Negative,Neutral
17066,Negative,Neutral
17067,Negative,Negative
17068,Negative,Neutral
17069,Neutral,Negative
17070,Negative,Negative
17071,Negative,Negative
17072,Neutral,Negative
17073,Negative,Neutral
17074,Negative,Negative
17075,Negative,Negative
17076,Neutral,Negative
17077,Positive,Negative
17078,Negative,Negative
17079,Negative,Negative
17080,Negative,Neutral
17081,Negative,Neutral
17082,Negative,Negative
17083,Neutral,Negative
17084,Negative,Negative
17085,Negative,Negative
17086,Negative,Neutral
17087,Positive,Neutral
17088,Positive,Negative
17089,Positive,Negative
17090,Positive,Negative
17091,Positive,Negative
17092,Neutral,Neutral
17093,Positive,Positive
17094,Negative,Negative
17095,Neutral,Neutral
17096,Negative,Negative
17097,Neutral,Neutral
17098,Negative,Negative
17099,Negative,Positive
17100,Neutral,Negative
17101,Positive,Positive
17102,Negative,Neutral
17103,Negative,Negative
17104,Negative,Negative
17105,Negative,Negative
17106,Positive,Positive
17107,Negative,Negative
17108,Positive,Positive
17109,Negative,Negative
17110,Positive,Negative
17111,Positive,Neutral
17112,Negative,Negative
17113,Negative,Negative
17114,Negative,Negative
17115,Neutral,Negative
17116,Negative,Negative
17117,Negative,Negative
17118,Neutral,Negative
17119,Negative,Negative
17120,Negative,Negative
17121,Negative,Negative
17122,Negative,Negative
17123,Negative,Negative
17124,Negative,Negative
17125,Negative,Negative
17126,Negative,Negative
17127,Negative,Negative
17128,Neutral,Negative
17129,Positive,Negative
17130,Positive,Negative
17131,Negative,Negative
17132,Negative,Negative
17133,Positive,Negative
17134,Positive,Neutral
17135,Negative,Negative
17136,Positive,Positive
17137,Neutral,Neutral
17138,Negative,Negative
17139,Neutral,Neutral
17140,Negative,Negative
17141,Negative,Negative
17142,Negative,Negative
17143,Negative,Negative
17144,Negative,Negative
17145,Negative,Negative
17146,Negative,Negative
17147,Negative,Negative
17148,Positive,Negative
17149,Negative,Neutral
17150,Positive,Positive
17151,Negative,Neutral
17152,Negative,Negative
17153,Negative,Negative
17154,Negative,Negative
17155,Negative,Negative
17156,Negative,Negative
17157,Negative,Neutral
17158,Negative,Negative
17159,Negative,Negative
17160,Negative,Neutral
17161,Negative,Negative
17162,Neutral,Neutral
17163,Negative,Negative
17164,Negative,Negative
17165,Negative,Negative
17166,Negative,Neutral
17167,Positive,Positive
17168,Negative,Negative
17169,Positive,Positive
17170,Negative,Negative
17171,Neutral,Neutral
17172,Negative,Negative
17173,Negative,Negative
17174,Positive,Positive
17175,Neutral,Neutral
17176,Negative,Negative
17177,Positive,Neutral
17178,Negative,Negative
17179,Positive,Positive
17180,Neutral,Neutral
17181,Negative,Negative
17182,Negative,Neutral
17183,Neutral,Neutral
17184,Negative,Negative
17185,Negative,Neutral
17186,Positive,Neutral
17187,Negative,Negative
17188,Negative,Negative
17189,Negative,Negative
17190,Positive,Positive
17191,Negative,Negative
17192,Negative,Neutral
17193,Negative,Negative
17194,Negative,Negative
17195,Positive,Negative
17196,Negative,Negative
17197,Negative,Negative
17198,Negative,Negative
17199,Positive,Negative
17200,Negative,Negative
17201,Negative,Negative
17202,Positive,Negative
17203,Negative,Negative
17204,Negative,Negative
17205,Positive,Negative
17206,Negative,Neutral
17207,Negative,Negative
17208,Negative,Negative
17209,Neutral,Neutral
17210,Negative,Negative
17211,Positive,Negative
17212,Neutral,Neutral
17213,Positive,Negative
17214,Negative,Negative
17215,Negative,Negative
17216,Negative,Negative
17217,Negative,Negative
17218,Negative,Negative
17219,Negative,Negative
17220,Positive,Negative
17221,Positive,Negative
17222,Positive,Positive
17223,Negative,Negative
17224,Negative,Negative
17225,Negative,Negative
17226,Negative,Negative
17227,Negative,Negative
17228,Negative,Negative
17229,Negative,Negative
17230,Positive,Positive
17231,Negative,Negative
17232,Neutral,Negative
17233,Positive,Negative
17234,Negative,Negative
17235,Negative,Negative
17236,Negative,Neutral
17237,Neutral,Negative
17238,Negative,Negative
17239,Negative,Negative
17240,Negative,Negative
17241,Positive,Negative
17242,Negative,Neutral
17243,Positive,Positive
17244,Negative,Negative
17245,Negative,Negative
17246,Negative,Negative
17247,Neutral,Neutral
17248,Positive,Positive
17249,Negative,Negative
17250,Positive,Positive
17251,Negative,Negative
17252,Positive,Positive
17253,Positive,Negative
17254,Positive,Positive
17255,Positive,Positive
17256,Positive,Positive
22494,Positive,Positive
22495,Negative,Neutral
22496,Negative,Negative
22497,Negative,Negative
22498,Negative,Negative
22499,Negative,Negative
22500,Negative,Negative
22501,Negative,Negative
22502,Negative,Negative
22503,Neutral,Neutral
22504,Positive,Positive
22505,Positive,Negative
22506,Negative,Neutral
22507,Negative,Negative
22508,Negative,Negative
22509,Negative,Negative
22510,Negative,Negative
22511,Negative,Negative
22512,Negative,Negative
22513,Negative,Negative
22514,Positive,Negative
22515,Negative,Negative
22516,Negative,Negative
22517,Negative,Negative
22518,Negative,Negative
22519,Positive,Positive
22520,Positive,Positive
22521,Negative,Negative
22522,Negative,Neutral
22523,Neutral,Negative
22524,Positive,Negative
22525,Positive,Positive
22526,Negative,Negative
22527,Neutral,Neutral
22528,Negative,Negative
22529,Negative,Negative
22530,Positive,Neutral
22531,Negative,Negative
22532,Negative,Negative
22533,Positive,Negative
22534,Negative,Negative
22535,Negative,Negative
22536,Negative,Negative
22537,Positive,Positive
22538,Positive,Negative
22539,Negative,Negative
22540,Negative,Neutral
22541,Neutral,Neutral
22542,Neutral,Neutral
22543,Positive,Negative
22544,Negative,Negative
22545,Negative,Negative
22546,Negative,Negative
22547,Negative,Negative
22548,Negative,Negative
22549,Positive,Neutral
22550,Negative,Negative
22551,Positive,Negative
22552,Negative,Negative
22553,Negative,Negative
22554,Negative,Negative
22555,Negative,Negative
22556,Positive,Negative
22557,Negative,Negative
22558,Negative,Neutral
22559,Negative,Negative
22560,Negative,Negative
22561,Negative,Negative
22562,Negative,Negative
22563,Negative,Negative
22564,Negative,Negative
22565,Negative,Negative
22566,Negative,Negative
22567,Negative,Negative
22568,Negative,Negative
22569,Negative,Negative
22570,Negative,Negative
22571,Negative,Negative
22572,Negative,Negative
22573,Positive,Positive
22574,Neutral,Neutral
22575,Negative,Negative
22576,Negative,Negative
22577,Negative,Neutral
22578,Negative,Neutral
22579,Negative,Neutral
22580,Neutral,Negative
22581,Positive,Positive
22582,Negative,Neutral
22583,Positive,Negative
22584,Negative,Negative
22585,Neutral,Negative
22586,Negative,Negative
22587,Negative,Negative
22588,Negative,Neutral
22589,Negative,Negative
22590,Negative,Negative
22591,Negative,Negative
22592,Negative,Negative
22593,Negative,Negative
22594,Positive,Negative
22595,Negative,Neutral
22596,Negative,Negative
22597,Positive,Negative
22598,Negative,Negative
22599,Positive,Neutral
22600,Negative,Negative
22601,Negative,Neutral
22602,Negative,Negative
22603,Negative,Negative
22604,Negative,Negative
22605,Negative,Neutral
22606,Neutral,Neutral
22607,Negative,Negative
22608,Negative,Negative
22609,Negative,Negative
22610,Negative,Neutral
22611,Negative,Negative
22612,Positive,Positive
22613,Negative,Neutral
22614,Negative,Negative
22615,Negative,Negative
22616,Negative,Negative
22617,Negative,Positive
22618,Negative,Positive
22619,Neutral,Neutral
22620,Negative,Negative
22621,Positive,Positive
22622,Negative,Negative
22623,Negative,Negative
22624,Negative,Negative
22625,Negative,Negative
22626,Positive,Positive
22627,Positive,Positive
22628,Negative,Negative
22629,Neutral,Positive
22630,Negative,Negative
22631,Negative,Neutral
22632,Negative,Neutral
22633,Positive,Positive
22634,Positive,Positive
22635,Positive,Positive
22636,Negative,Negative
22637,Negative,Neutral
22638,Positive,Negative
22639,Negative,Negative
22640,Neutral,Neutral
22641,Negative,Negative
22642,Negative,Negative
22643,Negative,Neutral
22644,Negative,Positive
22645,Negative,Neutral
22646,Negative,Positive
22647,Negative,Negative
22648,Positive,Positive
22649,Negative,Neutral
22650,Neutral,Neutral
22651,Negative,Neutral
22652,Negative,Neutral
22653,Negative,Negative
22654,Neutral,Neutral
22655,Negative,Neutral
22656,Negative,Neutral
22657,Negative,Negative
22658,Negative,Negative
22659,Negative,Negative
22660,Negative,Neutral
22661,Negative,Negative
22662,Negative,Neutral
22663,Positive,Negative
22664,Negative,Negative
22665,Negative,Neutral
22666,Negative,Negative
22667,Positive,Positive
22668,Negative,Neutral
22669,Positive,Negative
22670,Negative,Negative
22671,Negative,Negative
22672,Negative,Neutral
22673,Positive,Positive
22674,Positive,Negative
22675,Negative,Negative
22676,Negative,Negative
22677,Negative,Negative
22678,Negative,Neutral
22679,Negative,Neutral
22680,Negative,Negative
22681,Negative,Neutral
22682,Negative,Negative
22683,Negative,Negative
22684,Positive,Positive
22685,Neutral,Positive
22686,Negative,Neutral
22687,Negative,Negative
22688,Neutral,Neutral
22689,Positive,Neutral
22690,Negative,Negative
22691,Neutral,Neutral
22692,Negative,Neutral
22693,Negative,Negative
22694,Negative,Negative
22695,Positive,Negative
22696,Neutral,Negative
22697,Neutral,Neutral
22698,Negative,Negative
22699,Negative,Neutral
22700,Negative,Negative
22701,Negative,Negative
22702,Neutral,Negative
22703,Negative,Negative
22704,Neutral,Negative
22705,Negative,Negative
22706,Positive,Neutral
22707,Negative,Negative
22708,Negative,Negative
22709,Negative,Neutral
22710,Negative,Negative
22711,Negative,Negative
22712,Negative,Negative
22713,Negative,Negative
22714,Neutral,Positive
22715,Negative,Positive
22716,Neutral,Positive
22717,Negative,Positive
22718,Neutral,Positive
22719,Negative,Neutral
22720,Negative,Neutral
22721,Negative,Positive
22722,Positive,Positive
22723,Negative,Neutral
22724,Positive,Positive
22725,Negative,Negative
22726,Negative,Positive
22727,Neutral,Positive
22728,Negative,Neutral
22729,Negative,Negative
22730,Negative,Negative
22731,Neutral,Negative
22732,Neutral,Neutral
22733,Positive,Positive
22734,Negative,Negative
22735,Negative,Positive
22736,Neutral,Negative
22737,Neutral,Positive
22738,Negative,Positive
22739,Positive,Negative
22740,Neutral,Negative
22741,Negative,Positive
22742,Negative,Negative
22743,Positive,Neutral
22744,Negative,Negative
22745,Negative,Negative
22746,Neutral,Neutral
22747,Positive,Positive
22748,Negative,Negative
22749,Negative,Negative
22750,Negative,Neutral
22751,Negative,Negative
22752,Negative,Neutral
22753,Positive,Negative
22754,Negative,Negative
22755,Negative,Negative
22756,Negative,Negative
22757,Negative,Negative
22758,Negative,Negative
22759,Negative,Negative
22760,Neutral,Negative
22761,Negative,Negative
22762,Negative,Negative
22763,Negative,Negative
22764,Negative,Negative
22765,Negative,Negative
22766,Negative,Negative
22767,Positive,Negative
22768,Negative,Neutral
22769,Negative,Negative
22770,Negative,Negative
22771,Negative,Neutral
22772,Negative,Negative
22773,Negative,Negative
22774,Negative,Neutral
22775,Negative,Neutral
22776,Negative,Negative
22777,Negative,Negative
16857,Negative,Positive
16858,Neutral,Positive
16859,Positive,Positive
16860,Neutral,Neutral
16861,Positive,Positive
16862,Negative,Neutral
16863,Negative,Negative
16864,Negative,Neutral
16865,Positive,Positive
16866,Positive,Positive
16867,Neutral,Positive
16868,Negative,Positive
16869,Positive,Negative
16870,Positive,Positive
16871,Negative,Negative
16872,Neutral,Negative
16873,Positive,Positive
16874,Positive,Positive
16875,Positive,Negative
16876,Positive,Positive
16877,Positive,Positive
16878,Negative,Positive
16879,Positive,Positive
16880,Negative,Negative
16881,Positive,Positive
16882,Negative,Neutral
16883,Neutral,Neutral
16884,Negative,Neutral
16885,Negative,Neutral
16886,Negative,Neutral
16887,Negative,Neutral
16888,Negative,Negative
16889,Negative,Neutral
16890,Negative,Negative
16891,Neutral,Negative
16892,Neutral,Neutral
16893,Negative,Negative
16894,Negative,Negative
16895,Negative,Negative
16896,Negative,Negative
16897,Positive,Neutral
16898,Negative,Neutral
16899,Negative,Neutral
16900,Negative,Negative
16901,Neutral,Neutral
16902,Neutral,Neutral
16903,Negative,Neutral
16904,Negative,Negative
16905,Positive,Neutral
16906,Negative,Negative
16907,Neutral,Negative
16908,Negative,Neutral
16909,Negative,Negative
16910,Positive,Positive
16911,Negative,Neutral
16912,Negative,Neutral
16913,Neutral,Neutral
16914,Positive,Positive
16915,Negative,Negative
16916,Negative,Negative
16917,Negative,Negative
16918,Negative,Negative
16919,Negative,Negative
16920,Negative,Negative
16921,Negative,Negative
16922,Negative,Negative
16923,Negative,Negative
16924,Neutral,Negative
16925,Negative,Negative
16926,Neutral,Neutral
16927,Negative,Negative
16928,Negative,Neutral
